pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,latitude,longitude,format,source,order,layout,thumbnail,full,manifest,collection
00001cc,Leadville,leadville,"Leadville (Colo.), Harrison Avenue","Buildings, Businesses, Lake County Courthouse","Harrison Avenue, looking south, c. 1920, Leadville. A view looking south from the 600 block of Harrison Avenue in Leadville, Colorado, showing two and three story brick and wood frame clapboard buildings with pedestrians walking on concrete pavement. Buildings that can be seen include the old Lake County Courthouse with Lady Justice and her scales and the American National Bank with its corner tower dome.",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,39.24915,-106.29199,Photo,Scanned Negative,0,cmhc_item,"/img/derivatives/iiif/images/00001cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00001cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00001cc/manifest.json,cmhc
00002cc,Mining,mining,"Box Creek, Derry Ranch, Lake County (Colo.)","Dredges, Derry Ranch, Mining, Placer, People","Derry gold dredge, Box Creek, c. 1920",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,,,Photo,Scanned Negative,1,cmhc_item,"/img/derivatives/iiif/images/00002cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00002cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00002cc/manifest.json,cmhc
00011cc,Mining,mining,"Lake County (Colo.), Upper Halfmoon Gulch","Mills, Mining","Mt. Champion Mill, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,1920,2020-10-06,39.12556,-106.51861,Photo,Scanned Negative,10,cmhc_item,"/img/derivatives/iiif/images/00011cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00011cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00011cc/manifest.json,cmhc
00102cc,People,people,Denver (Colo.),"People, Women, Children","Margaret (Boehmer) McLister and son, Henry McLister (Rose & Hopkins photo) (Frank McLister collection)","Margaret Boehmer McLister, Henry McLister",This photo is property of Lake County Civic Center Association.,,2021-01-13,,,Photo,Scanned Negative,100,cmhc_item,"/img/derivatives/iiif/images/00102cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/00102cc/full/1140,/0/default.jpg",/img/derivatives/iiif/00102cc/manifest.json,cmhc
01067cc,People,people,"Lake County (Colo.), Tennessee Creek","People, Men, Recreation",Unidentified man fishing on Tennessee Creek,,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1000,cmhc_item,"/img/derivatives/iiif/images/01067cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01067cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01067cc/manifest.json,cmhc
01068cc,Climax,climax,Climax (Colo.),"Mining, Buildings, Climax Molybdenum Company","Climax, Colorado ",,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.36832,-106.18744,Photo,Scanned Negative,1001,cmhc_item,"/img/derivatives/iiif/images/01068cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01068cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01068cc/manifest.json,cmhc
01069cc,People,people,Leadville (Colo.),"People, Women, Children, School","Oro City School group, April, 1918 ",,This photo is property of Lake County Civic Center Association.,4/1918,2021-03-30,39.2364,-106.27208,Photo,Scanned Negative,1002,cmhc_item,"/img/derivatives/iiif/images/01069cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01069cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01069cc/manifest.json,cmhc
01070cc,People,people,,"People, Women, Men",Two unidentified women and an unidentified man amidst the snow (Ruth Johnson collection),,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1003,cmhc_item,"/img/derivatives/iiif/images/01070cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01070cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01070cc/manifest.json,cmhc
01071cc,People,people,Leadville (Colo.),"People, Women, Children, Recreation, Churches","St. George's choir, midsummer 1911, 412 W. 4th Street, Agnes Slusher in front (Ruth Johnson collection)",Agnes (Johnson) Slusher,This photo is property of Lake County Civic Center Association.,,2021-03-30,39.24618,-106.29734,Photo,Scanned Negative,1004,cmhc_item,"/img/derivatives/iiif/images/01071cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01071cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01071cc/manifest.json,cmhc
01072cc,People,people,Leadville (Colo.),"People, Women, Children, Recreation, Churches","Building on Harrison Avenue, St. George's choir (Ruth Johnson collection)",,This photo is property of Lake County Civic Center Association.,,2021-03-30,,,Photo,Scanned Negative,1005,cmhc_item,"/img/derivatives/iiif/images/01072cc/full/250,/0/default.jpg","/img/derivatives/iiif/images/01072cc/full/1140,/0/default.jpg",/img/derivatives/iiif/01072cc/manifest.json,cmhc
