pid,label,key,location,keywords,description,named_persons,rights,_date,format,source,order,layout,thumbnail,full,manifest,collection
00101cc,Historic Photos,photos,Leadville,"Leadville, Lake County, Harrison Avenue, Leadville (city)","Harrison Avenue, looking south, c. 1920, LeadvilleA view looking south from the 600 block of Harrison Avenue in Leadville, Colorado, showing two and three story brick and wood frame clapboard buildings with pedestrians walking on concrete pavement. Buildings that can be seen include the old Lake County Court House with Lady Justice and her scales and the American National Bank with its corner tower dome. The cafe on the west side located between West 6th and West 7th Street is probably the Saddle Rock Cafe which opened in 1916 at 607 Harrison Avenue. The owner was Alfred Gross. The cafe closed or was moved from there in 1938. Business signs include Cafe, Rooms, Drugs, and Tailor.",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,0,leadville_item,"/img/derivatives/iiif/images/00101cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00101cc/full/full/0/default.jpg,/img/derivatives/iiif/00101cc/manifest.json,leadville
00001cc,Unidentified,unidentified,Leadville,"Leadville, Lake County, Harrison Avenue, Leadville (city)","Harrison Avenue, looking south, c. 1920, LeadvilleA view looking south from the 600 block of Harrison Avenue in Leadville, Colorado, showing two and three story brick and wood frame clapboard buildings with pedestrians walking on concrete pavement. Buildings that can be seen include the old Lake County Court House with Lady Justice and her scales and the American National Bank with its corner tower dome. The cafe on the west side located between West 6th and West 7th Street is probably the Saddle Rock Cafe which opened in 1916 at 607 Harrison Avenue. The owner was Alfred Gross. The cafe closed or was moved from there in 1938. Business signs include Cafe, Rooms, Drugs, and Tailor.",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,1,leadville_item,"/img/derivatives/iiif/images/00001cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00001cc/full/full/0/default.jpg,/img/derivatives/iiif/00001cc/manifest.json,leadville
00014cc,Unidentified,unidentified,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Ninth Street School, St. Mary's School, Houses, Carbonate Hill, East Side, Smelter, Downtown Mines, Leadville (city)","View from Carbonate Hill, looking west, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,10,leadville_item,"/img/derivatives/iiif/images/00014cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00014cc/full/full/0/default.jpg,/img/derivatives/iiif/00014cc/manifest.json,leadville
00114cc,Maps,maps,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Ninth Street School, St. Mary's School, Houses, Carbonate Hill, East Side, Smelter, Downtown Mines, Leadville (city)","View from Carbonate Hill, looking west, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,11,leadville_item,"/img/derivatives/iiif/images/00114cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00114cc/full/full/0/default.jpg,/img/derivatives/iiif/00114cc/manifest.json,leadville
00115cc,Maps,maps,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Wolftone mine, north end Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,12,leadville_item,"/img/derivatives/iiif/images/00115cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00115cc/full/full/0/default.jpg,/img/derivatives/iiif/00115cc/manifest.json,leadville
00015cc,Unidentified,unidentified,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Wolftone mine, north end Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,13,leadville_item,"/img/derivatives/iiif/images/00015cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00015cc/full/full/0/default.jpg,/img/derivatives/iiif/00015cc/manifest.json,leadville
00016cc,The Tabors,tabors,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Iron Hill, California Gulch, Yak Tunnel","Yak Mining, Milling & Tunnel Co. surface plant, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,14,leadville_item,"/img/derivatives/iiif/images/00016cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00016cc/full/full/0/default.jpg,/img/derivatives/iiif/00016cc/manifest.json,leadville
00116cc,Maps,maps,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Iron Hill, California Gulch, Yak Tunnel","Yak Mining, Milling & Tunnel Co. surface plant, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,15,leadville_item,"/img/derivatives/iiif/images/00116cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00116cc/full/full/0/default.jpg,/img/derivatives/iiif/00116cc/manifest.json,leadville
00017cc,The Tabors,tabors,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Stray Horse Gulch, Mt. Elbert, Mt. Massive, Carbonate Hill, East Fifth Street, E. 5th St.","Lower Stray Horse Gulch, c. 1920.  Robert Emmett  mine in foreground, Wolftone in line with Mt. Elbert",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,16,leadville_item,"/img/derivatives/iiif/images/00017cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00017cc/full/full/0/default.jpg,/img/derivatives/iiif/00017cc/manifest.json,leadville
00117cc,Documents and Books,docs,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Stray Horse Gulch, Mt. Elbert, Mt. Massive, Carbonate Hill, East Fifth Street, E. 5th St.","Lower Stray Horse Gulch, c. 1920.  Robert Emmett  mine in foreground, Wolftone in line with Mt. Elbert",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,17,leadville_item,"/img/derivatives/iiif/images/00117cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00117cc/full/full/0/default.jpg,/img/derivatives/iiif/00117cc/manifest.json,leadville
00118cc,Documents and Books,docs,Leadville,"Leadville, Lake County, Zinc, Smelter","Western Zinc Oxide Smelting Co., west edge of Leadville, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,18,leadville_item,"/img/derivatives/iiif/images/00118cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00118cc/full/full/0/default.jpg,/img/derivatives/iiif/00118cc/manifest.json,leadville
00018cc,The Tabors,tabors,Leadville,"Leadville, Lake County, Zinc, Smelter","Western Zinc Oxide Smelting Co., west edge of Leadville, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,19,leadville_item,"/img/derivatives/iiif/images/00018cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00018cc/full/full/0/default.jpg,/img/derivatives/iiif/00018cc/manifest.json,leadville
00102cc,Historic Photos,photos,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Placer, Gold, Derry Ranch","Derry gold dredge, Box Creek, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,2,leadville_item,"/img/derivatives/iiif/images/00102cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00102cc/full/full/0/default.jpg,/img/derivatives/iiif/00102cc/manifest.json,leadville
00119cc,Documents and Books,docs,Leadville,"Leadville, Lake County, Arkansas Valley Smelter, Stringtown, Smelter","Arkansas Valley Smelter, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,20,leadville_item,"/img/derivatives/iiif/images/00119cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00119cc/full/full/0/default.jpg,/img/derivatives/iiif/00119cc/manifest.json,leadville
00019cc,Camp Hale,hale,Leadville,"Leadville, Lake County, Arkansas Valley Smelter, Stringtown, Smelter","Arkansas Valley Smelter, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,21,leadville_item,"/img/derivatives/iiif/images/00019cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00019cc/full/full/0/default.jpg,/img/derivatives/iiif/00019cc/manifest.json,leadville
00020cc,Camp Hale,hale,Leadville,"Leadville, Gold","Hydraulic mining in California Gulch in the Early Days, c. 1879",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,22,leadville_item,"/img/derivatives/iiif/images/00020cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00020cc/full/full/0/default.jpg,/img/derivatives/iiif/00020cc/manifest.json,leadville
00120cc,Climax,climax,Leadville,"Leadville, Gold","Hydraulic mining in California Gulch in the Early Days, c. 1879",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,23,leadville_item,"/img/derivatives/iiif/images/00120cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00120cc/full/full/0/default.jpg,/img/derivatives/iiif/00120cc/manifest.json,leadville
00003cc,Camp Hale,hale,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold, Jonny Hill, Ibex Mining Company","Little Jonny mine, Ibex Mining Co. Idaho Park, c. 1920",Bill,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,24,leadville_item,"/img/derivatives/iiif/images/00003cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00003cc/full/full/0/default.jpg,/img/derivatives/iiif/00003cc/manifest.json,leadville
00103cc,Climax,climax,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold, Jonny Hill, Ibex Mining Company","Little Jonny mine, Ibex Mining Co. Idaho Park, c. 1920",Bill,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,25,leadville_item,"/img/derivatives/iiif/images/00103cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00103cc/full/full/0/default.jpg,/img/derivatives/iiif/00103cc/manifest.json,leadville
00104cc,Climax,climax,Leadville,"Leadville, Lake County, Gold, Assayer","Two gold bricks on scale pan, worth $3, 734, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,26,leadville_item,"/img/derivatives/iiif/images/00104cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00104cc/full/full/0/default.jpg,/img/derivatives/iiif/00104cc/manifest.json,leadville
00004cc,Unidentified,unidentified,Leadville,"Leadville, Lake County, Gold, Assayer","Two gold bricks on scale pan, worth $3, 734, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,27,leadville_item,"/img/derivatives/iiif/images/00004cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00004cc/full/full/0/default.jpg,/img/derivatives/iiif/00004cc/manifest.json,leadville
00005cc,Ice Palace,palace,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Mikado mine, Greenback left, WolfTone in background, Northern end of Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,28,leadville_item,"/img/derivatives/iiif/images/00005cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00005cc/full/full/0/default.jpg,/img/derivatives/iiif/00005cc/manifest.json,leadville
00105cc,Brisbois Photos,brisbois,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Graham Park","Mikado mine, Greenback left, WolfTone in background, Northern end of Graham Park, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,29,leadville_item,"/img/derivatives/iiif/images/00105cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00105cc/full/full/0/default.jpg,/img/derivatives/iiif/00105cc/manifest.json,leadville
00002cc,Unidentified,unidentified,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Placer, Gold, Derry Ranch","Derry gold dredge, Box Creek, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,3,leadville_item,"/img/derivatives/iiif/images/00002cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00002cc/full/full/0/default.jpg,/img/derivatives/iiif/00002cc/manifest.json,leadville
00006cc,Ice Palace,palace,Leadville,"Leadville, Lake County, Mine, Mining, Miners, Men, Unidentified","Interior working of mine, c. 1920Davis Drug Co.",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,30,leadville_item,"/img/derivatives/iiif/images/00006cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00006cc/full/full/0/default.jpg,/img/derivatives/iiif/00006cc/manifest.json,leadville
00106cc,Brisbois Photos,brisbois,Leadville,"Leadville, Lake County, Mine, Mining, Miners, Men, Unidentified","Interior working of mine, c. 1920Davis Drug Co.",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,31,leadville_item,"/img/derivatives/iiif/images/00106cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00106cc/full/full/0/default.jpg,/img/derivatives/iiif/00106cc/manifest.json,leadville
00107cc,Brisbois Photos,brisbois,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold","Garbutt mine, Idaho Park, c. 1920(located near the Ibex group)",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,32,leadville_item,"/img/derivatives/iiif/images/00107cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00107cc/full/full/0/default.jpg,/img/derivatives/iiif/00107cc/manifest.json,leadville
00007cc,Ice Palace,palace,Leadville,"Leadville, Lake County, Mine, Mining, Mines, Breece Hill, Gold","Garbutt mine, Idaho Park, c. 1920(located near the Ibex group)",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,33,leadville_item,"/img/derivatives/iiif/images/00007cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00007cc/full/full/0/default.jpg,/img/derivatives/iiif/00007cc/manifest.json,leadville
00008cc,Evergreen Cemetery,cemetery,Leadville,"Leadville, Lake County, Mining, Man, Burros, Mules, Horses, Wagon, Gold","Ore team from Mt. Champion mine, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,34,leadville_item,"/img/derivatives/iiif/images/00008cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00008cc/full/full/0/default.jpg,/img/derivatives/iiif/00008cc/manifest.json,leadville
00108cc,High School Annuals,school,Leadville,"Leadville, Lake County, Mining, Man, Burros, Mules, Horses, Wagon, Gold","Ore team from Mt. Champion mine, Upper Half Moon Gulch, c. 1920",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,35,leadville_item,"/img/derivatives/iiif/images/00108cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00108cc/full/full/0/default.jpg,/img/derivatives/iiif/00108cc/manifest.json,leadville
00009cc,Evergreen Cemetery,cemetery,Leadville,"Leadville, Lake County, Harrison Avenue, Men, Businesses, Wagon, Leadville (city)","Harrison Avenue, looking north, c. 1879, Leadville",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,36,leadville_item,"/img/derivatives/iiif/images/00009cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00009cc/full/full/0/default.jpg,/img/derivatives/iiif/00009cc/manifest.json,leadville
00109cc,High School Annuals,school,Leadville,"Leadville, Lake County, Harrison Avenue, Men, Businesses, Wagon, Leadville (city)","Harrison Avenue, looking north, c. 1879, Leadville",,This photo is property of Lake County Civic Center Association.,01/16/20,Photo,Scanned Negative,37,leadville_item,"/img/derivatives/iiif/images/00109cc/full/250,/0/default.jpg",/img/derivatives/iiif/images/00109cc/full/full/0/default.jpg,/img/derivatives/iiif/00109cc/manifest.json,leadville
