pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,format,source,order,layout,text,thumbnail,full,manifest,collection
00001ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,1,cmhc_item,,"/img/derivatives/iiif/images/00001ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00001ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00001ci/manifest.json,census
00010ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,10,cmhc_item,     ,"/img/derivatives/iiif/images/00010ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00010ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00010ci/manifest.json,census
00100ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,100,cmhc_item,  ,"/img/derivatives/iiif/images/00100ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00100ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00100ci/manifest.json,census
01000ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1000,cmhc_item,"Fulton, As E« Fulton, Benjamin S. Fulton, Charles Fulton, David Fulton, Gilbert Fulton, Harold Fulton, Iva A. Fulton, M. D. . Fulton, Sarah Fuman, William Funk, Peter Funnell, James Funnell, Joseph (Fournells) Furcham, George Furgeson, J. E« Furgin, John Furguson, As Furgusoen, Thomas Furlow, .F.  Furst, Jacob  Gable, William Gabrial, Carrie Gabrial, John.  Gabrial, Joseph  22 40 26 55 32 8m 25 29 48 27 28 28 25 45 22 34 27 37 23  22  28  37  45  Ss 5 & & & RF BF SF SF SF BF FY RF He RF RF R KF FE  s Ss Ww  Ke WwW Wm WwW  ui  -  Ww Ww Ww Ww WNW A WwW NH NH W ND  OW Ww WD QO  19 .  19 88  42  42. _L9  42  19 42 18  80  49 .  . 47  24 35 98 88 36 21  14  90 90 - 90  21 23 39 16 —  ‘34  22 18  20  17  28 24 LO 25  32  26  34  23  35 29  32.  28 ","/img/derivatives/iiif/images/01000ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01000ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01000ci/manifest.json,census
01001ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1001,cmhc_item,"Gabrial, Katie  Gabrial, Rosie  Gabrial, Sophte  Gadini, John  Gafney, John  Gafney, M.  Gafney, Maria.  Gaffney, Mary  Gafney, William  Gaffney, William Jr.  Gage, William  Gains, Wallace  Galager, Tim  Gale, George  Gale, Hannah  Gale, Joseph  Gale, Le L.  Gale, William =  Gall, Mary Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, ‘Gallagher, Gallagher,  Gallagher,  As  Anthony Bartholemew Catherine Catherine Charles  Dan  Eddie  ll  32  5m  38  11  39  44  31  26  23  (22  21 22 22 34 27  40  26  11 4m  24  xs § SS SF FY F&F RF RF HF SF RF BF KF FH BF FSF F&F F&F BF SF FH FH ZF KF KR H HF A  Ww Ww © WwW  oOo A NH A NH NY DW  ~  a wm WwW WH Wm UM  we wm UR MH UH NH w&  wu &F WN WH  90 . 90  18  . 43.  . 30  22  , 29  29 -  29.  26 24 31 16  15  15 15 31.  . 23  31  30  33  31  34  41  42  39  43  38  40  37  11  . 20  36  37  31  35  32  30  46  13  32  32  25  31  16  42  -15 ","/img/derivatives/iiif/images/01001ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01001ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01001ci/manifest.json,census
01002ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1002,cmhc_item,"Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher, Gallagher,  Gallan, J.  Gallion, H.  Edith Ellen J. Le John John John John John Joseph Mary Mary Nellie Nellie Pat Peter Phillip  Sarah  Fe  Gallion, Ollie  Gallon, James  Gallop, Joseph  Galloway,  Be Se  Galloway, Louisa  Galloway,  Ruth  Galoon, John  Galp in ry S €  Gamble, Bridget  8m  26  47 40 40 29 22 28  45  27 4m  46  22 31 37 34 34 30 28  35  26  31  37  33  toy RF tS A RF SF SF FT FF RF FH KF RF F&F HH HF HM HH R BF RF EF RF EF KF HF FF  -  Ee uw F&F NY WwW WN  45 31 45  19  ~15  . 34  LS 49. 45  , 60  15  45.  L5  96  15  13 L5 33 78 78 34 13 44  44  45  20  31  14  .30  29 29 24, 43 28 47 34 29 35  31  ‘33  11 30 28 30 31  39 49  50  46 39  23 ","/img/derivatives/iiif/images/01002ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01002ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01002ci/manifest.json,census
01003ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1003,cmhc_item,"Gamble, Gamble, Gamble, Gamble, Gamble, Gamsby,  Ganaud,  John T. Maggie Mamie S. Mary A, Thomas James  James  Gandolph, Charles (Gantolf)  Gandolph, Louisa (Gantolf)  Ganto, James J.  Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, Gardner, - Gardner, Gardner, Gardner, Gardner, Gardner, Gardner,  Gardner,  Bs. F.«  Cs. Bs Charles Chauncy Claude Edward Effie Frank James James James John Margaret Mary Nora Olive M,. Robert  Thomas  LOm  40 22 39 31  23  34  41  26  24 38  18  33 39 29 28 23 16  36  Ss & WA SS SS S Re RF SF F BR HH RF RF RF BF SF RB RF HM KF RF RF KF HH HF WM RK WwW WwW NY YW Ww NH WwW WwW  u Ww WN NSN FF FF SF SF  ON Ww - W Ww =  p=  =  1)  18 22 76  76  32  17.  17  20  11  17  17  17  17  17  N NN N N  27 26 24 25  22  37  27  Ww ®  25  21  23  10 22 27 24 18 26 23  19  28  25 ","/img/derivatives/iiif/images/01003ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01003ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01003ci/manifest.json,census
01004ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1004,cmhc_item,"Gardner, William Garfield, N. W. Garland, Ge Be Garlinghouse, W. S. Garlite, Peter Garmon, Pat | Garnett, M. F. Garrett, Anua | Garrett, George Garrett, James Garrett, Jerry Garrett, Mary Garrison, William Garrity, Frank Garrity, John Garrity, Michael Garrity, Thomas Garrity, Thomas Garvin, Charlotte Garvin, John : Garvin, John Garvin, Matilda Garvin, William Gasnell, Alfred Gass, William > Gaston, Herbert Gaston, Mamie  Gaston, Mary  63 35 25 55 24 21 45 24 24 30 19 26 22 25 41 40 26 43 45 14 20 16 35 45  54  36  tow Rk F & & FH &F FF A KF RF F&F FF F&F FF FH RF RF SF HH FH F F BF BF KF BB  vu WwW uM uu uM FF uu. & UW WwW DH HSH NY. Ww WwW Ww FHA A A WwW  t=  >  17  27  25  34  53.  92  92  25  11  25  33  47  15  13  47  15  27  27 27  27  27  74  2/7  13  13  13  20 38  48  19  12  42 15  16  26  24  20 10  25  18 47 15  13 ","/img/derivatives/iiif/images/01004ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01004ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01004ci/manifest.json,census
01005ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1005,cmhc_item,"Gaston, William  Gates, Charles  Gates, Charles  Gates, F.  Gates, Lester  Gates, Sarah  Gaudin, Jennie  Gaudin, L.  Gaughan, Gaughan, Gaughan, Gaughan,  Gaus, W.  Gausser,  Frank Frank Kate Maggie  B.     Gavibitch, Steve  Gavin, Joe  Gavin, Mollie  Gaw, Clara  Gaw, Elizabeth  Gaw, Elizabeth  Gaw, Henry  Gaw, Mary  Gaw, William  Gay, Allie (Gey)  Gay, Asherson  Gay, Carrie  Gay, Frank  Gay, Je  42 27 26 32 35 30 33 29  28  26-  20 30 40 35 32 15 40 17 50 22  23  26 40  39  Ss + FS + FY HB we EF KF SF KF YH FH F KF KF HH FH BF BS KR EF FE  |  = SS FW  N Oo BW WwW nH BH FF  Ie  wm WwW OO MW wD WH Ww WW WwW  Wo Ww Ww Ww WwW Ww ws  13  23.  15.  76 41 23 53  53  59. 79  12,  48  48  52  52  52  52  a2  52  13  61 61 19 98  r4  19  19 30  20  48  49 50 22 14 40 17 18 16 12 15 11 14 13 13 19 18 4l  32 ","/img/derivatives/iiif/images/01005ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01005ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01005ci/manifest.json,census
01006ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,1006,cmhc_item,"Gay, John  Gay, Lee (Gey) Gay, Louis (Gey) Gay, Mary  Gay, Nancy (Gey) Gay, Walter Gaylord, Henry Gaylord, Josie Gazzell, Gearhart, J. H. Gearhart, J. H. Gearhart, J. W. Geary, John Geary, Kate Geary, Willie Geay, Charles. Gee, Alfred  Gee, D.. W.  Gee, Herbert Gee, Katie  Gee, Katie Geherns, Nicholas Geiger, Fred Geison, Ed, Gelisber, Charles Gellings, Edward Gellings, Fred  Gellings, Julia  40  41 25  29  37 35 21 35 25 30 34  29  22  25  24  35  35  32  39  34  32  yy & & & KF KF &F FH HH SF BF KF KF SF HH KF BF SF F KF HH SF KR HTH FH FEF KR SK  Ny wu N Nn Ww WwW WwW WwW WH WwW  Oo A DB Ww WwW NH HH W WwW WwW Ww WwW DB NHN HN HB BW W  61 -  13 .  13  38 .  13  61.  56  - 36 32 61.  56  16  56 .  56  56 56  56  ll  ‘49  ‘73  63 10 10  10  -17  -14  11  12  20  / 42  43  38  30  17  18  19  48  44  46 45  47  (16  45 18  43  ‘45  44 ","/img/derivatives/iiif/images/01006ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/01006ci/full/1140,/0/default.jpg",/img/derivatives/iiif/01006ci/manifest.json,census
