pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,format,source,order,layout,text,thumbnail,full,manifest,collection
00002ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,2,cmhc_item,  ,"/img/derivatives/iiif/images/00002ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00002ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00002ci/manifest.json,census
00011ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,11,cmhc_item,"“ey ey2)     CENSUS INDICES FOR:  1860 California Guich Segment  Arapahoe County Kansas Territory  LAKE COUNTY PUBLIC LIBRARY. 1115 HARRISON AVE. =” LEADVILLE, COLO, 80461  Prepared by Historical Research Cooperative Leadville, Colorado 1984 ","/img/derivatives/iiif/images/00011ci/full/250,/0/default.jpg",,/img/derivatives/iiif/00011ci/manifest.json,census
00012ci,1860 Lake County Census,1860ci,,,,,,,2023-01-28,,,12,cmhc_item,roo epee te gt wget FEYDANT Gory Ube FRIES hy OTe Yee  Watt fg Ves y ee a aed Teel COA OREM fos ,"/img/derivatives/iiif/images/00012ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00012ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00012ci/manifest.json,census
00102ci,1870 Lake County Census,1870ci,,,,,,,2023-01-29,,,102,cmhc_item,  ,"/img/derivatives/iiif/images/00102ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00102ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00102ci/manifest.json,census
00103ci,1870 Lake County Census,1870ci,,,,,,,2023-01-29,,,103,cmhc_item,,"/img/derivatives/iiif/images/00103ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00103ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00103ci/manifest.json,census
00111ci,1870 Lake County Census,1870ci,,,,,,,2023-01-29,,,111,cmhc_item,"CENSUS INDICES FOR:  1870 Lake County  Colorado Territory  i N >  LAKE COUNTY PUBLIC LIBRARE. 1115 HARRISON AVE, =” LEADVILLE, COLO. 80461  Prepared by Historical Research Cooperative Leadville, Colorado 1984    ","/img/derivatives/iiif/images/00111ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00111ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00111ci/manifest.json,census
00112ci,1870 Lake County Census,1870ci,,,,,,,2023-01-29,,,112,cmhc_item,roo epee te gt wget FEYDANT Gory Ube FRIES hy OTe Yee  Watt fg Ves y ee a aed Teel COA OREM fos ,"/img/derivatives/iiif/images/00112ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00112ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00112ci/manifest.json,census
00141ci,1880 Lake County Census,1880ci,,,,,,,2023-01-29,,,141,cmhc_item,  ,"/img/derivatives/iiif/images/00141ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00141ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00141ci/manifest.json,census
00150ci,1880 Lake County Census,1880ci,,,,,,,2023-01-29,,,150,cmhc_item,"i N >     CENSUS INDICES FOR:  1880 Lake County Colorado  LAKE COUNTY PUBLIC LIBRARE. 1115 HARRISON AVE, =” LEADVILLE, COLO. 80461  Prepared by Historical Research Cooperative Leadville, Colorado 1984 ","/img/derivatives/iiif/images/00150ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00150ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00150ci/manifest.json,census
00151ci,1880 Lake County Census,1880ci,,,,,,,2023-01-29,,,151,cmhc_item,roo epee te gt wget FEYDANT Gory Ube FRIES hy OTe Yee  Watt fg Ves y ee a aed Teel COA OREM fos ,"/img/derivatives/iiif/images/00151ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00151ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00151ci/manifest.json,census
00798ci,1885 Lake County Census,1885ci,,,,,,,2023-11-02,,,798,cmhc_item,  ,"/img/derivatives/iiif/images/00798ci/full/250,/0/default.jpg","/img/derivatives/iiif/images/00798ci/full/1140,/0/default.jpg",/img/derivatives/iiif/00798ci/manifest.json,census
