pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,format,source,order,layout,text,thumbnail,full,manifest,collection
00004cd,1879 City Directory,1879cd,,,,,,,2023-08-09,,,4,cmhc_item,"rw e  W. M. CLARK. W, A, ROOT.  cLARK: ROOT & co...  FIRST ANNUAL  CITY DIRECTORY  LEADVILLE  —AND—  BUSINESS. DIRECTORY  —or—  CARBONATEVILLE,  KOKOMO AND MALTA. FOR 1879.  DENVER: RINTING HGUSH AND BOOK MANUFACTORY,          ","/img/derivatives/iiif/images/00004cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00004cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00004cd/manifest.json,directories
00005cd,1879 City Directory,1879cd,,,,,,,2023-08-09,,,5,cmhc_item,"JOHN H. GHLLRSPY. RANKLIN BALLOU. F. OLMSTED,  Lake County Sampling Harts  GILLESPY, BALLOU & 60.  ORO ROAD,  DEALERS IN GOLD, SILVER & LEAD  OWES.  fias> Ores SAMPLED AND SoLp on ComMISsION.  TENNESSEE SAW MILL,  LUMBER YARD AND OFFICE,  Jefferson Avenue, East of Harrison.  Rey Orders respectfully solicited for all kinds of Native Lumber.  ARTHUR es Manager.                   ","/img/derivatives/iiif/images/00005cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00005cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00005cd/manifest.json,directories
00253cd,1880 City Directory,1880cd,,,,,,,2023-08-09,,,253,cmhc_item,"         J. H. BALLENGER,  CORBETT, HOYE & Co's  FIRST ANNUAL  >GITYxDIREGTORY<  OF THE—  INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC.  IN THE—  CITY OF LEADVILLE,  FOR 18s0.  LEADVILLE, COL. Democrat Prinrin Company,     J ","/img/derivatives/iiif/images/00253cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00253cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00253cd/manifest.json,directories
00254cd,1880 City Directory,1880cd,,,,,,,2023-08-09,,,254,cmhc_item,"   sr. L.OU1Ts  SMELTING AND REFINING C0..  AND  | Harrison Reduction Works, ' ' BUYERS OF |  ORE AND BULLION,  ST. LOUIS, MO. LEADVILLE, COLO.  TEE  Fryer Hill Mining Co.  Organized under the Laws of Colorado. i es  | VIRGINIUS” MINE On Fryer Hill, LEADVILLE, COLORADO. Capital, paid up, $240,000. Shares, 2,500. Par Value, $100 each.  STOCK FULL PAID AND NON-ASSHSSABLE,     BOSTON OFFICE. Room 8, Tremont Bank Building.  NEW YORE OFFICE, ‘With C. H, Trask, 70 Wall st,  LEADVILLE OF FIO, With H. 6, Dillon, 300 Harrison Ave. Fenote  ESCASELN,     C,H. TRASK, W. ROPES, Je,          ","/img/derivatives/iiif/images/00254cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00254cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00254cd/manifest.json,directories
00676cd,1881 City Directory,1881cd,,,,,,,2023-08-09,,,676,cmhc_item,"      THOMAS B. CORBETT. JOHN H. BALLEMNGER.  CORBETT & BALLENGER’S  SECOND ANNUAL  eLbADV LliLLis  City DIRECTORY  PONTAINING A LoOMPLETE LisT  oF THE  INITABT! NS NCORPORATED COM ss, iF, NG ESTAB- ess, BUSL NESS FIRMS, ETC.  IN THE  City OF LEADVILLE  FOR 1881,  LRADVILLE, COL. + COMBETT @ EALLENGDR, PUDLISIEXS.    ","/img/derivatives/iiif/images/00676cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00676cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00676cd/manifest.json,directories
00677cd,1881 City Directory,1881cd,,,,,,,2023-08-09,,,677,cmhc_item,"}J- B- OF S| To  Entered according to Act of Congress, in the year. +881, by ‘THOMAS B, CORBSTT and JOH H, BALLENGER, In the office of the Librarian of Congress at Washington,     R 411.88  A Hee’ TO    ","/img/derivatives/iiif/images/00677cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00677cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00677cd/manifest.json,directories
00999cd,1882 City Directory,1882cd,,,,,,,2023-08-09,,,999,cmhc_item,"                                                CORBETT & BALLENGER’S THIRD ANNUAL  DLHADVITLIiLE  CITY DIRECTORY  FONTAINING A [oMPLETE LisT  OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC,  IN THE  CITY OF LEADVILLE,  FOR 1882,  LEADVILLE, COLO.: CORBETT 4 BALLENGER, PUBLISHERS.          ","/img/derivatives/iiif/images/00999cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/00999cd/full/1140,/0/default.jpg",/img/derivatives/iiif/00999cd/manifest.json,directories
01000cd,1882 City Directory,1882cd,,,,,,,2023-08-09,,,1000,cmhc_item,"[T- 3-04 sit Entered according to Act of Congress, in the year 1882, by  THOMAS B. CORBETT and JOHN H. BALLENGER, In the office of the Librarlan of Congress at Weshigton.    ","/img/derivatives/iiif/images/01000cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/01000cd/full/1140,/0/default.jpg",/img/derivatives/iiif/01000cd/manifest.json,directories
01311cd,1883 City Directory,1883cd,,,,,,,2023-08-09,,,1311,cmhc_item,"   FOURTH ANNUAL  DEN     CITY ‘DIRECTORY  foramina A Comprers [usr  OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC.,  IN THE  CITY OF LEADVILLE,  FOR 1883.  CORBETT & BALLENGER'S _  LEADVILLE, COLO.: CORBETT & BALLENGER, PUBLISHERS.       ","/img/derivatives/iiif/images/01311cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/01311cd/full/1140,/0/default.jpg",/img/derivatives/iiif/01311cd/manifest.json,directories
01312cd,1883 City Directory,1883cd,,,,,,,2023-08-09,,,1312,cmhc_item,"   IT- 3-09  S172  Entered according to Act of Congress, in the year 1883, by CORBETT & BALLENGER, , In the office of the Librarian of Congress at Washington.  w ","/img/derivatives/iiif/images/01312cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/01312cd/full/1140,/0/default.jpg",/img/derivatives/iiif/01312cd/manifest.json,directories
01598cd,1884 City Directory,1884cd,,,,,,,2023-08-09,,,1598,cmhc_item,"         CORBETT & BALLENGER’S  FIFTH ANNUAL  DHA DV Dito  PONTAINING! A OMPHETE Fist OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC.,  IN THE  CITY OF LEADVILLE,  FOR (884.  LEADVILLE, COL®O.: CORBETT & BALLENGER, PUBLISHERS.       ","/img/derivatives/iiif/images/01598cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/01598cd/full/1140,/0/default.jpg",/img/derivatives/iiif/01598cd/manifest.json,directories
01856cd,1885 City Directory,1885cd,,,,,,,2023-08-09,,,1856,cmhc_item,"         CORBETT & BALLENGER’'S  SIXTH ANNUAL  IMA DV Ties  CiTy,,DIRECTORY  Contained in COMPERTE Just OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC.,  IN THE  CiTy OF LEADVILLE.  FOR 1885.  LEADVILLE, COLO.: CORBETT & BALLENGER, PUBLISHERS.       ","/img/derivatives/iiif/images/01856cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/01856cd/full/1140,/0/default.jpg",/img/derivatives/iiif/01856cd/manifest.json,directories
